,BoroCT2010,LotArea,FP,CT_Land,Bldg/Land,Lot/Land,Bldg/Lot
330,2007000,1468332.0,702730.392287,2207823.45352,31.83,66.51,47.86
331,2007100,1594826.0,718854.826317,2843661.98725,25.28,56.08,45.07
332,2007200,1441991.0,688264.729572,2292782.56492,30.02,62.89,47.73
333,2007300,938430.0,446709.277084,1507593.10112,29.63,62.25,47.6
334,2007400,1434410.0,387775.621564,2012633.67664,19.27,71.27,27.03
335,2007500,1399905.0,626406.975928,2458741.0535,25.48,56.94,44.75
336,2007600,1430467.0,772881.936688,2339929.44454,33.03,61.13,54.03
337,2007700,759153.0,398910.93086,1214306.23769,32.85,62.52,52.55
338,2007800,1963577.0,920010.817681,3326684.15676,27.66,59.03,46.85
339,2007900,1248087.0,522527.953656,2126625.73317,24.57,58.69,41.87
340,2008300,1388798.0,822489.975778,2303687.97187,35.7,60.29,59.22
341,2008400,1082638.0,383921.935108,1674998.51733,22.92,64.64,35.46
342,2008500,1211054.0,743927.180061,1966131.66016,37.84,61.6,61.43
343,2008600,1472413.0,293710.885401,2019879.65784,14.54,72.9,19.95
344,2008700,1347400.0,599858.764143,2302753.01727,26.05,58.51,44.52
345,2008900,640213.0,404586.534749,1174411.47287,34.45,54.51,63.2
346,2009000,6851402.0,2204222.99262,11115829.3384,19.83,61.64,32.17
347,2009200,1826294.0,910989.631576,3278193.62587,27.79,55.71,49.88
348,2009300,14306306.0,7132278.25402,25297302.3643,28.19,56.55,49.85
349,2009600,4790503.0,2211701.44993,7359513.90622,30.05,65.09,46.17
350,2009800,3037720.0,1059308.83957,5559622.22819,19.05,54.64,34.87
351,2011000,7819481.0,170186.223925,21931215.0932,0.78,35.65,2.18
352,2011502,1766094.0,989555.634351,3720925.13097,26.59,47.46,56.03
353,2011700,14350263.0,3084951.65134,14905907.6512,20.7,96.27,21.5
354,2011800,12121160.0,1822893.45442,10984648.6037,16.59,110.35,15.04
355,2011900,1130528.0,611567.053314,1794111.26359,34.09,63.01,54.1
356,2012101,725923.0,415609.083096,1251776.33699,33.2,57.99,57.25
357,2012102,285030.0,211409.622326,556269.411143,38.0,51.24,74.17
358,2012300,1121749.0,604458.871998,3189742.4246,18.95,35.17,53.89
359,2012500,985306.0,545338.18809,1828803.46249,29.82,53.88,55.35
360,2012701,635255.0,346876.883535,1172804.16056,29.58,54.17,54.6
361,2012901,934341.0,517287.284794,1684031.13028,30.72,55.48,55.36
362,2013000,722660.0,265877.837064,1250249.50747,21.27,57.8,36.79
363,2013100,1446713.0,675177.636449,2475848.31888,27.27,58.43,46.67
364,2013200,4385937.0,1442466.65103,6526040.71317,22.1,67.21,32.89
365,2013300,1244845.0,365238.230666,1734820.33381,21.05,71.76,29.34
366,2013500,1125303.0,399344.808358,1805899.39482,22.11,62.31,35.49
367,2013800,3730428.0,983828.211575,8330445.90608,11.81,44.78,26.37
368,2014100,906714.0,502903.131398,1907232.43777,26.37,47.54,55.46
369,2014300,556894.0,362719.868978,1395894.31655,25.98,39.9,65.13
370,2014400,3015550.0,617397.614111,4208791.51297,14.67,71.65,20.47
